School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
Tosorontio Central Public School,Adjala-Tosorontio,Simcoe County DSB,Elementary,1,0,1,Active
Ajax High School,Ajax,Durham DSB,Secondary,1,0,1,Active
Bolton C Falby Public School,Ajax,Durham DSB,Elementary,4,0,4,Active
Cadarackque Public School,Ajax,Durham DSB,Elementary,2,1,3,Active
Carruthers Creek Public School,Ajax,Durham DSB,Elementary,0,1,1,Active
Da Vinci Public School,Ajax,Durham DSB,Elementary,3,1,4,Active
Duffin's Bay Public School,Ajax,Durham DSB,Elementary,7,1,8,Active
Eagle Ridge Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
J Clarke Richardson Collegiate Institute,Ajax,Durham DSB,Secondary,3,0,3,Active
Lincoln Avenue Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
Notre Dame Catholic High School,Ajax,Durham CDSB,Secondary,5,0,5,Active
Pickering High School,Ajax,Durham DSB,Secondary,1,0,1,Active
Romeo Dallaire Public School,Ajax,Durham DSB,Elementary,2,1,3,Active
Southwood Park Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
St AndrÃ© Bessette Catholic School,Ajax,Durham CDSB,Elementary,1,1,2,Active
St Bernadette Catholic School,Ajax,Durham CDSB,Elementary,3,0,3,Active
St Catherine of Siena Catholic School,Ajax,Durham CDSB,Elementary,2,0,2,Active
St Francis de Sales Catholic School,Ajax,Durham CDSB,Elementary,0,1,1,Active
St James Catholic School,Ajax,Durham CDSB,Elementary,3,0,3,Active
St Josephine Bakhita Catholic Elementary School,Ajax,Durham CDSB,Elementary,14,1,15,Active
St Jude Catholic School,Ajax,Durham CDSB,Elementary,0,1,1,Active
St Teresa of Calcutta Catholic School,Ajax,Durham CDSB,Elementary,2,0,2,Active
Terry Fox Public School,Ajax,Durham DSB,Elementary,3,0,3,Active
Viola Desmond Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
Grafton Public School,Alnwick/Haldimand,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
General Amherst High School,Amherstburg,Greater Essex County DSB,Secondary,2,0,2,Active
Maynard Public School,Augusta,Upper Canada DSB,Elementary,1,0,1,Active
Dr G W Williams Secondary School,Aurora,York Region DSB,Secondary,0,0,1,Active
Highview Public School,Aurora,York Region DSB,Elementary,0,0,1,Active
Holy Spirit Catholic Elementary School,Aurora,York CDSB,Elementary,0,0,2,Active
Light of Christ Catholic Elementary School,Aurora,York CDSB,Elementary,0,0,1,Active
Northern Lights Public School,Aurora,York Region DSB,Elementary,0,0,0,Active
Rick Hansen Public School,Aurora,York Region DSB,Elementary,0,0,1,Active
St Joseph Catholic Elementary School,Aurora,York CDSB,Elementary,0,0,1,Active
Wellington Public School,Aurora,York Region DSB,Elementary,0,0,1,Active
Ã‰cole secondaire catholique Renaissance,Aurora,CS catholique MonAvenir,Secondary,1,0,1,Active
Assumption Catholic Elementary School,Aylmer,London District Catholic School Board,Elementary,0,1,1,Active
Ferndale Woods Elementary School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Hewitt's Creek Public School,Barrie,Simcoe County DSB,Elementary,2,0,2,Active
Innisdale Secondary School,Barrie,Simcoe County DSB,Secondary,1,0,1,Active
Oakley Park Public School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Saint Gabriel the Archangel Catholic School,Barrie,Simcoe Muskoka CDSB,Elementary,1,0,1,Active
St Catherine of Siena Catholic School,Barrie,Simcoe Muskoka CDSB,Elementary,1,0,1,Active
Steele Street Public School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Terry Fox Elementary School,Barrie,Simcoe County DSB,Elementary,2,0,2,Active
The Good Shepherd Catholic School,Barrie,Simcoe Muskoka CDSB,Elementary,1,3,4,Active
West Bayfield Elementary School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Willow Landing Elementary School,Barrie,Simcoe County DSB,Elementary,0,1,1,Active
Ã‰IC Nouvelle-Alliance,Barrie,CS catholique MonAvenir,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire La Source,Barrie,CS Viamonde,Elementary,1,0,1,Active
Nicholson Catholic College,Belleville,Algonquin and Lakeshore CDSB,Secondary,1,0,1,Active
Prince of Wales Public School,Belleville,Hastings & Prince Edward DSB,Elementary,1,0,1,Active
Queen Victoria School,Belleville,Hastings & Prince Edward DSB,Elementary,2,0,2,Active
Fieldcrest Elementary School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,2,0,2,Active
Fred C Cook Public School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,4,0,4,Active
Holy Trinity Catholic High School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Secondary,1,0,1,Active
Hon Earl Rowe Public School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,1,0,1,Active
St Angela Merici Catholic Elementary School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Elementary,4,0,4,Active
St Jean de Brebeuf Separate School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Elementary,2,0,2,Active
St Marie of the Incarnation Catholic School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Elementary,2,0,2,Active
W H Day Elementary School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,2,0,2,Active
AYSP/Brampton Centennial S.S.,Brampton,Peel DSB,Secondary,0,0,1,Active
Aloma Crescent Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Arnott Charlton Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Balmoral Drive Senior Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Beatty-Fleming Senior Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Birchbank Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Bishop Francis Allen Catholic School,Brampton,Dufferin-Peel CDSB,Elementary,0,2,2,Active
Brisdale Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Burnt Elm Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Calderstone Middle School,Brampton,Peel DSB,Elementary,0,0,1,Active
Cardinal Ambrozic Catholic Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,1,2,3,Active
Cardinal Leger Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,2,1,3,Active
Castle Oaks Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
Castlebrooke Secondary School,Brampton,Peel DSB,Secondary,0,0,4,Active
Castlemore Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Centennial Senior Public School,Brampton,Peel DSB,Elementary,0,0,6,Active
Central Peel Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Churchville Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Claireville Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Clark Boulevard Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Copeland Public School,Brampton,Peel DSB,Elementary,0,0,4,Active
Dolson Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
Dorset Drive Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Earnscliffe Senior Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Edenbrook Hill Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Eldorado Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Esker Lake Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Fairlawn Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Father C W Sullivan Catholic School,Brampton,Dufferin-Peel CDSB,Elementary,3,0,3,Active
Father Clair Tipping School,Brampton,Dufferin-Peel CDSB,Elementary,0,0,0,Active
Father Francis McSpiritt Catholic Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,0,1,1,Active
Fernforest Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Fletcher's Creek Senior Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Folkstone Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
Goldcrest Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Gordon Graydon Senior Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Greenbriar Senior Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Harold F Loughin Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Harold M. Brathwaite Secondary School,Brampton,Peel DSB,Secondary,0,0,2,Active
Heart Lake Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Helen Wilson Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Hickory Wood Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Holy Name of Mary Catholic Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,0,1,1,Active
Homestead Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Huttonville Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Ingleborough Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
James Grieve Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Jean Augustine Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Judith Nyman Secondary School,Brampton,Peel DSB,Secondary,0,0,6,Active
Kingswood Drive Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Larkspur Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Lester B. Pearson Catholic School,Brampton,Dufferin-Peel CDSB,Elementary,1,0,1,Active
