,newCasesDate,newCases,newCasesRolling,totalCasesDate,totalCases,statusDate,statusHospital,statusICU,statusVent,statusDeath,statusCumDate,statusCumCases,statusCumRecovered,statusCumDied,canadaRateDate,canadaRate,ontarioRateDate,ontarioRate,canadaDeathRateDate,canadaDeathRate,ontarioDeathRateDate,ontarioDeathRate,rtDate,Rt,RtLow,RtHigh,mobilityDate,mobilityRetailRec,mobilityGrocPharm,mobilityWorkplace,testDate,testRollingNew,testNew,testPctPostive
0,2020-03-15,42.0,17.0,2020-03-15,145.0,2020-04-01,0.0,0.0,0.0,4.0,2020-01-26,0.0,0.0,0.0,2020-01-26,,2020-01-26,,2020-01-26,,2020-01-26,,2020-03-02,2.0,0.34,6.43,2020-02-15,,,,2020-01-25,,,
1,2020-03-16,32.0,20.0,2020-03-16,177.0,2020-04-02,405.0,0.0,0.0,16.0,2020-01-27,0.0,0.0,0.0,2020-01-27,,2020-01-27,,2020-01-27,,2020-01-27,,2020-03-03,1.1,0.26,2.53,2020-02-16,,,,2020-01-26,,,
2,2020-03-17,12.0,22.0,2020-03-17,189.0,2020-04-03,462.0,0.0,0.0,14.0,2020-01-28,1.0,0.0,0.0,2020-01-28,,2020-01-28,,2020-01-28,,2020-01-28,,2020-03-04,0.93,0.23,2.09,2020-02-17,,,,2020-01-27,,,
3,2020-03-18,25.0,25.0,2020-03-18,214.0,2020-04-04,506.0,0.0,0.0,27.0,2020-01-30,2.0,0.0,0.0,2020-01-30,,2020-01-30,,2020-01-30,,2020-01-30,,2020-03-05,0.82,0.19,1.83,2020-02-18,,,,2020-01-29,,,
4,2020-03-19,44.0,28.0,2020-03-19,258.0,2020-04-05,523.0,0.0,0.0,25.0,2020-01-31,2.0,0.0,0.0,2020-01-31,,2020-01-31,,2020-01-31,,2020-01-31,,2020-03-06,0.78,0.19,1.74,2020-02-19,,,,2020-01-30,,,
5,2020-03-20,60.0,34.0,2020-03-20,318.0,2020-04-06,589.0,0.0,0.0,13.0,2020-02-03,3.0,0.0,0.0,2020-02-03,0.01,2020-02-03,,2020-02-03,,2020-02-03,,2020-03-07,0.75,0.19,1.67,2020-02-20,,,,2020-02-02,,,
6,2020-03-21,59.0,39.0,2020-03-21,377.0,2020-04-07,614.0,0.0,0.0,21.0,2020-02-04,3.0,0.0,0.0,2020-02-04,0.01,2020-02-04,,2020-02-04,,2020-02-04,,2020-03-08,0.75,0.19,1.65,2020-02-21,-0.5714285714285714,-0.5714285714285714,-11.0,2020-02-03,,,
7,2020-03-22,48.0,40.0,2020-03-22,425.0,2020-04-08,605.0,0.0,0.0,21.0,2020-02-05,3.0,0.0,0.0,2020-02-05,0.01,2020-02-05,,2020-02-05,,2020-02-05,,2020-03-09,0.0,0.0,1.3,2020-02-22,0.2857142857142857,-0.14285714285714285,-10.142857142857142,2020-02-04,,11.0,
8,2020-03-23,78.0,47.0,2020-03-23,503.0,2020-04-09,632.0,0.0,0.0,26.0,2020-02-06,3.0,0.0,0.0,2020-02-06,0.01,2020-02-06,,2020-02-06,,2020-02-06,,2020-03-10,0.2,0.0,1.59,2020-02-23,-0.2857142857142857,-1.1428571428571428,-9.142857142857142,2020-02-05,,19.0,
9,2020-03-24,85.0,57.0,2020-03-24,588.0,2020-04-10,673.0,0.0,0.0,22.0,2020-02-08,3.0,0.0,0.0,2020-02-08,0.01,2020-02-08,0.02,2020-02-08,,2020-02-08,,2020-03-11,0.36,0.0,1.81,2020-02-24,3.7142857142857144,4.428571428571429,1.4285714285714286,2020-02-07,,28.0,
