Municipality,School,Total_Confirmed_Cases
Toronto,393,950
Ottawa,121,216
Brampton,109,227
Mississauga,96,185
Hamilton,61,136
Vaughan,55,127
Markham,35,72
Richmond Hill,24,40
Ajax,20,60
Milton,17,30
Oshawa,16,40
Whitby,15,28
Oakville,15,25
London,15,18
Burlington,13,15
Cambridge,12,21
Caledon,12,24
Sarnia,11,19
Newmarket,11,14
Kitchener,11,19
Pickering,10,33
Niagara Falls,9,11
Guelph,9,13
Chatham-Kent,9,14
Windsor,8,8
Aurora,8,8
Clarington,7,10
Brantford,7,12
Bradford West Gwillimbury,7,11
North Grenville,6,15
Halton Hills,6,10
Barrie,6,8
Woodstock,5,6
Welland,5,12
St. Catharines,5,10
Kingston,5,7
Georgina,5,6
Whitchurch - Stouffville,4,6
Waterloo,4,5
Russell,4,9
Peterborough,4,5
King,4,6
Innisfil,4,6
Hawkesbury,4,5
Strathroy-Caradoc,3,3
South Glengarry,3,5
Quinte West,3,4
New Tecumseth,3,6
Fort Erie,3,4
Cornwall,3,3
Casselman,3,7
Timmins,2,2
Thorold,2,2
Tecumseh,2,3
Petrolia,2,3
Pelham,2,3
Orangeville,2,2
Norfolk County,2,2
Loyalist,2,3
Ingersoll,2,2
Champlain,2,2
Wellington North,1,1
Warwick,1,1
Uxbridge,1,2
Trent Hills,1,1
Stone Mills,1,1
St. Thomas,1,3
Southwest Middlesex,1,1
South Stormont,1,1
South Dundas,1,1
South Bruce Peninsula,1,1
Shelburne,1,2
Scugog,1,2
Ramara,1,1
Pickle Lake,1,1
Penetanguishene,1,1
Pembroke,1,1
North Glengarry,1,3
North Dundas,1,4
Midland,1,3
Mapleton,1,1
Lincoln,1,2
Lasalle,1,2
Lambton Shores,1,2
Lakeshore,1,1
Kincardine,1,1
Kenora,1,1
Kawartha Lakes,1,1
Huron-Kinloss,1,1
Haldimand County,1,1
Guelph/Eramosa,1,1
Grimsby,1,2
Greenstone,1,1
Goderich,1,1
Enniskillen,1,1
East Gwillimbury,1,1
Dryden,1,2
Collingwood,1,1
Cobourg,1,1
Clarence-Rockland,1,2
Central Frontenac,1,1
Carleton Place,1,1
Brooke-Alvinston,1,5
Brockville,1,1
Brant,1,2
Belleville,1,1
Amherstburg,1,1
Adjala-Tosorontio,1,1
